Date,Calories,Weight,day,Weight_linear,Weight_spline,Calories_linear,Calories_spline,phase,fitted_weight,weight_slope
2024-06-15,2388.0,,275,64.64,64.68429210489987,2388.0,2388.0,cut,64.34142305919309,-0.024533898655221265
2024-06-16,1431.0,,276,64.67999999999999,64.75895946161148,1431.0,1431.0,cut,64.31693215163035,-0.024447326764587274
2024-06-17,1637.0,,277,64.72,64.82392034196381,1637.0,1637.0,cut,64.29252960437535,-0.024357159599475153
2024-06-18,1494.0,,278,64.75999999999999,64.87909301778576,1494.0,1494.0,cut,64.26821906814426,-0.024263286188623095
2024-06-19,1578.0,64.2,279,64.8,64.92439576090628,1433.0,1296.3490398478027,cut,64.24400430350536,-0.024165599079969034
2024-06-20,1372.0,,280,64.84,64.95974684315429,1372.0,1372.0,cut,64.21988917695222,-0.024063992560622676
2024-06-21,1726.0,,281,64.88,64.98506453635873,1714.5,1727.2481743400565,cut,64.19587765697963,-0.02395836830070645
2024-06-22,2057.0,,282,64.92,65.00026711234854,2057.0,2057.0,cut,64.17197381008265,-0.02384863123149709
2024-06-23,2104.0,,283,64.96,65.00527284295265,2104.0,2104.0,cut,64.14818179661758,-0.023734687280689098
2024-06-24,1723.0,65.0,284,65.0,65.0,2028.0,2053.3602873091827,cut,64.12450586677325,-0.023616449247043647
2024-06-25,1716.0,,285,64.9375,64.98421454823398,1952.0,1974.383833552533,cut,64.10095035639401,-0.02349383470866921
2024-06-26,1876.0,,286,64.875,64.95707322405566,1876.0,1876.0,cut,64.07751968271187,-0.02336676341959295
2024-06-27,1795.0,63.5,287,64.8125,64.91758045678067,1795.0,1795.0,cut,64.05421834021205,-0.02323516095425286
2024-06-28,1757.0,,288,64.75,64.86474067572452,1757.0,1757.0,cut,64.03105089629855,-0.02309895531228771
2024-06-29,1579.0,,289,64.6875,64.79755831020285,1579.0,1579.0,cut,64.00802198701808,-0.022958080108163397
2024-06-30,2121.0,,290,64.625,64.71503778953112,1674.5,1705.3359017675405,cut,63.98513631275401,-0.022812475060618453
2024-07-01,1770.0,,291,64.5625,64.616183543025,1770.0,1770.0,cut,63.96239863385603,-0.022662079587358146
2024-07-02,1472.0,64.5,292,64.5,64.5,1472.0,1472.0,cut,63.939813766325,-0.02250684338633846
2024-07-03,2021.0,,293,64.39444444444445,64.36622711172977,1651.0,1540.2539909797736,cut,63.91738657739545,-0.022346714675040385
2024-07-04,1487.0,,294,64.28888888888889,64.21754691732016,1830.0,1856.757653448367,cut,63.89512198124189,-0.02218165004173045
2024-07-05,2009.0,,295,64.18333333333334,64.05737697783519,2009.0,2009.0,cut,63.87302493449908,-0.02201160908263944
2024-07-06,1785.0,,296,64.07777777777778,63.889134854338735,1785.0,1785.0,cut,63.85110043194278,-0.021836556619447833
2024-07-07,1641.0,,297,63.97222222222222,63.71623810789481,1641.0,1641.0,cut,63.829353502146795,-0.021656460259578125
2024-07-08,2003.0,,298,63.86666666666667,63.542104299567335,1705.5,1676.4553081024078,cut,63.80778920301376,-0.02147129173491654
2024-07-09,1770.0,,299,63.76111111111111,63.37015099042026,1770.0,1770.0,cut,63.786412617529486,-0.021281029502044174
2024-07-10,2176.0,,300,63.65555555555556,63.20379574151757,1803.5,1813.290823827633,cut,63.765228849316685,-0.021085654009134203
2024-07-11,1837.0,,301,63.55,63.04645611392318,1837.0,1837.0,cut,63.744243018430474,-0.020885152696100327
2024-07-12,1631.0,63.6,302,63.44444444444444,62.901549668701065,1872.0,1887.9277456153825,cut,63.72346025694142,-0.020679515177709128
2024-07-13,1873.0,,303,63.33888888888889,62.77249396691516,1907.0,1938.3707922265748,cut,63.70288570470282,-0.020468731901364855
